"filename", "language", "YAML", "Swift", "Markdown", "JSON", "C++", "XML", "Dart", "HTML", "Gradle", "Properties", "comment", "blank", "total"
"d:\komiwall-master\komiwall-master\lib\services\earn_api\networks_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 6, 29
"d:\komiwall-master\komiwall-master\lib\services\earn_api\offers_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"d:\komiwall-master\komiwall-master\lib\services\firebase_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 6, 59
"d:\komiwall-master\komiwall-master\lib\services\functional\auth_handler.dart", "Dart", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 56, 9, 96
"d:\komiwall-master\komiwall-master\lib\services\functional\image_cacher.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\komiwall-master\komiwall-master\lib\services\functional\overrides.dart", "Dart", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\komiwall-master\komiwall-master\lib\services\functional\web_view_handler.dart", "Dart", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 9, 59
"d:\komiwall-master\komiwall-master\lib\services\game_api\scratch_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 8, 51
"d:\komiwall-master\komiwall-master\lib\services\game_api\tap_war_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 7, 51
"d:\komiwall-master\komiwall-master\lib\services\game_api\wheel_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 8, 51
"d:\komiwall-master\komiwall-master\lib\services\leaderboard_api\leaderboard_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"d:\komiwall-master\komiwall-master\lib\services\user_api\user_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 11, 90
"d:\komiwall-master\komiwall-master\lib\src\app_color.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\komiwall-master\komiwall-master\lib\src\app_navigation.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"d:\komiwall-master\komiwall-master\lib\src\app_root.dart", "Dart", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 4, 81
"d:\komiwall-master\komiwall-master\lib\src\app_shared.dart", "Dart", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\komiwall-master\komiwall-master\lib\src\app_size.dart", "Dart", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\komiwall-master\komiwall-master\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 5, 16
"d:\komiwall-master\komiwall-master\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"d:\komiwall-master\komiwall-master\linux\main.cc", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\komiwall-master\komiwall-master\linux\my_application.cc", "C++", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 17, 26, 125
"d:\komiwall-master\komiwall-master\linux\my_application.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 5, 19
